mode: count
cmd/compile/internal/bloop/bloop.go:356.3,357.1 1 1
cmd/compile/internal/coverage/cover.go:42.2,42.39 1 1
cmd/compile/internal/coverage/cover.go:43.3,44.1 1 1
cmd/compile/internal/deadlocals/deadlocals.go:19.2,19.54 1 1
cmd/compile/internal/deadlocals/deadlocals.go:23.2,24.1 2 1
cmd/compile/internal/deadlocals/deadlocals.go:25.2,25.25 2 1
cmd/compile/internal/deadlocals/deadlocals.go:27.3,27.21 1 2
cmd/compile/internal/deadlocals/deadlocals.go:34.3,36.1 3 2
cmd/compile/internal/deadlocals/deadlocals.go:37.3,37.32 3 2
cmd/compile/internal/deadlocals/deadlocals.go:38.4,39.31 2 2
cmd/compile/internal/deadlocals/deadlocals.go:51.4,51.24 1 2
cmd/compile/internal/deadlocals/deadlocals.go:57.3,57.40 1 2
cmd/compile/internal/deadlocals/deadlocals.go:79.2,82.1 2 2
cmd/compile/internal/deadlocals/deadlocals.go:83.2,83.34 2 2
cmd/compile/internal/deadlocals/deadlocals.go:84.3,86.1 2 7
cmd/compile/internal/deadlocals/deadlocals.go:87.2,87.10 1 2
cmd/compile/internal/deadlocals/deadlocals.go:91.2,91.14 1 9
cmd/compile/internal/deadlocals/deadlocals.go:95.2,95.16 1 9
cmd/compile/internal/deadlocals/deadlocals.go:97.3,97.39 1 6
cmd/compile/internal/deadlocals/deadlocals.go:109.3,111.24 3 3
cmd/compile/internal/deadlocals/deadlocals.go:113.4,114.11 2 2
cmd/compile/internal/deadlocals/deadlocals.go:115.5,116.1 1 2
cmd/compile/internal/deadlocals/deadlocals.go:117.4,118.25 2 2
cmd/compile/internal/deadlocals/deadlocals.go:147.2,147.25 1 2
cmd/compile/internal/deadlocals/deadlocals.go:148.3,149.1 1 2
cmd/compile/internal/deadlocals/deadlocals.go:192.2,192.19 1 3
cmd/compile/internal/deadlocals/deadlocals.go:197.2,197.17 1 3
cmd/compile/internal/deadlocals/deadlocals.go:199.3,199.14 1 2
cmd/compile/internal/deadlocals/deadlocals.go:203.3,203.15 1 1
cmd/compile/internal/devirtualize/devirtualize.go:36.2,36.18 1 3
cmd/compile/internal/devirtualize/devirtualize.go:40.2,40.32 1 3
cmd/compile/internal/devirtualize/devirtualize.go:41.3,42.1 1 3
cmd/compile/internal/dwarfgen/dwarf.go:30.2,31.1 2 2
cmd/compile/internal/dwarfgen/dwarf.go:32.2,32.21 2 2
cmd/compile/internal/dwarfgen/dwarf.go:33.3,34.30 2 2
cmd/compile/internal/dwarfgen/dwarf.go:37.3,37.22 1 2
cmd/compile/internal/dwarfgen/dwarf.go:74.2,75.1 3 2
cmd/compile/internal/dwarfgen/dwarf.go:76.2,77.1 3 2
cmd/compile/internal/dwarfgen/dwarf.go:78.2,78.16 3 2
cmd/compile/internal/dwarfgen/dwarf.go:79.3,79.28 1 2
cmd/compile/internal/dwarfgen/dwarf.go:80.4,80.26 1 3
cmd/compile/internal/dwarfgen/dwarf.go:83.4,83.19 1 3
cmd/compile/internal/dwarfgen/dwarf.go:85.5,85.18 1 1
cmd/compile/internal/dwarfgen/dwarf.go:92.33,92.33 0 2
cmd/compile/internal/dwarfgen/dwarf.go:96.4,96.30 1 3
cmd/compile/internal/dwarfgen/dwarf.go:97.5,97.13 1 1
cmd/compile/internal/dwarfgen/dwarf.go:99.4,100.37 2 2
cmd/compile/internal/dwarfgen/dwarf.go:105.4,105.66 1 2
cmd/compile/internal/dwarfgen/dwarf.go:109.2,110.19 2 2
cmd/compile/internal/dwarfgen/dwarf.go:125.2,126.1 3 2
cmd/compile/internal/dwarfgen/dwarf.go:135.2,136.36 3 2
cmd/compile/internal/dwarfgen/dwarf.go:137.3,138.1 1 1
cmd/compile/internal/dwarfgen/dwarf.go:139.2,139.25 1 2
cmd/compile/internal/dwarfgen/dwarf.go:140.3,140.98 1 6
cmd/compile/internal/dwarfgen/dwarf.go:145.2,145.53 1 2
cmd/compile/internal/dwarfgen/dwarf.go:148.2,149.31 2 2
cmd/compile/internal/dwarfgen/dwarf.go:150.3,150.21 1 1
cmd/compile/internal/dwarfgen/dwarf.go:153.3,154.68 2 1
cmd/compile/internal/dwarfgen/dwarf.go:156.2,157.1 3 2
cmd/compile/internal/dwarfgen/dwarf.go:158.2,159.29 3 2
cmd/compile/internal/dwarfgen/dwarf.go:160.3,162.1 2 3
cmd/compile/internal/dwarfgen/dwarf.go:164.2,165.31 2 2
cmd/compile/internal/dwarfgen/dwarf.go:166.3,167.1 1 2
cmd/compile/internal/dwarfgen/dwarf.go:168.2,168.25 1 2
cmd/compile/internal/dwarfgen/dwarf.go:172.2,173.1 1 3
cmd/compile/internal/dwarfgen/dwarf.go:179.2,181.1 5 2
cmd/compile/internal/dwarfgen/dwarf.go:183.2,185.25 5 2
cmd/compile/internal/dwarfgen/dwarf.go:186.3,188.32 3 2
cmd/compile/internal/dwarfgen/dwarf.go:189.4,190.1 1 2
cmd/compile/internal/dwarfgen/dwarf.go:192.2,193.1 3 2
cmd/compile/internal/dwarfgen/dwarf.go:199.2,200.51 3 2
cmd/compile/internal/dwarfgen/dwarf.go:201.3,202.55 2 2
cmd/compile/internal/dwarfgen/dwarf.go:203.4,203.47 1 2
cmd/compile/internal/dwarfgen/dwarf.go:204.5,205.1 1 2
cmd/compile/internal/dwarfgen/dwarf.go:211.2,211.28 1 2
cmd/compile/internal/dwarfgen/dwarf.go:212.3,212.29 1 2
cmd/compile/internal/dwarfgen/dwarf.go:215.3,215.20 1 2
cmd/compile/internal/dwarfgen/dwarf.go:216.4,216.34 1 2
