1	-	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
131	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
132	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
133	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
134	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
135	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
136	-	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
137	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
138	-	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
139	af	-	subject_enter:genssa	-
140	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
141	main	src/cmd/compile/internal/ssagen/ssa.go:196580-196781:method	putArg	src/cmd/compile/internal/ssagen/ssa.go:5761
142	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
143	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
144	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
145	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
146	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
147	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
148	af	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
149	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
150	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
151	main	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
152	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
153	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
154	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
155	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
156	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
157	af	src/cmd/compile/internal/amd64/ssa.go:545-1041:func	ssaMarkMoves	src/cmd/compile/internal/amd64/ssa.go:24
158	main	src/cmd/compile/internal/ssagen/ssa.go:196580-196781:method	putArg	src/cmd/compile/internal/ssagen/ssa.go:5761
159	af	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
160	af	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
161	af	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
162	af	src/cmd/compile/internal/amd64/ssa.go:76094-77590:func	ssaGenBlock	src/cmd/compile/internal/amd64/ssa.go:2454
163	main	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
164	af	-	subject_enter:PopulateABIInRegArgOps	-
165	af	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
166	af	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
167	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
168	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
169	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
170	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
171	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
172	af	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
173	af	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
174	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
175	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
176	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
177	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
178	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
179	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
180	af	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
181	af	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
182	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
183	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
