143	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
144	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
145	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
146	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
147	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
148	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
149	src/cmd/compile/internal/ssagen/ssa.go:196580-196781:method	putArg	src/cmd/compile/internal/ssagen/ssa.go:5761
150	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
151	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
152	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
153	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
154	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
155	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
156	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
157	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
158	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
159	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
160	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
161	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
162	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
163	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
164	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
165	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
166	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
167	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
168	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
169	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
170	src/cmd/compile/internal/abi/abiutils.go:9746-9858:method	FloatIndexFor	src/cmd/compile/internal/abi/abiutils.go:296
171	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
172	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
173	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
174	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
175	src/cmd/compile/internal/abi/abiutils.go:9746-9858:method	FloatIndexFor	src/cmd/compile/internal/abi/abiutils.go:296
176	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
177	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
178	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
179	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
180	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
181	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
182	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
183	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
184	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
185	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
186	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
187	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
188	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
189	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
190	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
191	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
192	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
193	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
194	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
195	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
196	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
197	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
198	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
199	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
200	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
201	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
202	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
203	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
204	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
205	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
206	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
207	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
208	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
209	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
210	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
211	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
212	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
213	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
214	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
215	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
216	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
217	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
218	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
219	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
220	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
