canon39_regen_store/op_units2_cpp_c0063.json: 96 with proved terms, 50 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0064.json: 146 with proved terms, 80 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0065.json: 89 with proved terms, 45 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0066.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0067.json: 53 with proved terms, 39 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0068.json: 145 with proved terms, 122 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0069.json: 141 with proved terms, 93 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0070.json: 101 with proved terms, 82 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0071.json: 44 with proved terms, 36 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0072.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0073.json: 4 with proved terms, 0 rendered, 52 skipped
canon39_regen_store/op_units2_cpp_c0074.json: 119 with proved terms, 1 rendered, 22 skipped
canon39_regen_store/op_units2_cpp_c0075.json: 148 with proved terms, 0 rendered, 19 skipped
canon39_regen_store/op_units2_cpp_c0076.json: 81 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0077.json: 130 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0078.json: 109 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0079.json: 25 with proved terms, 0 rendered, 31 skipped
canon39_regen_store/op_units2_cpp_c0080.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0081.json: 4 with proved terms, 0 rendered, 52 skipped
canon39_regen_store/op_units2_cpp_c0082.json: 146 with proved terms, 1 rendered, 27 skipped
canon39_regen_store/op_units2_cpp_c0083.json: 121 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0084.json: 111 with proved terms, 0 rendered, 18 skipped
canon39_regen_store/op_units2_cpp_c0085.json: 130 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0086.json: 79 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0087.json: 25 with proved terms, 0 rendered, 31 skipped
canon39_regen_store/op_units2_cpp_c0088.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0089.json: 6 with proved terms, 0 rendered, 55 skipped
canon39_regen_store/op_units2_cpp_c0090.json: 175 with proved terms, 3 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0091.json: 103 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0092.json: 128 with proved terms, 0 rendered, 17 skipped
canon39_regen_store/op_units2_cpp_c0093.json: 129 with proved terms, 3 rendered, 16 skipped
canon39_regen_store/op_units2_cpp_c0094.json: 75 with proved terms, 2 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0095.json: 0 with proved terms, 0 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0096.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0097.json: 33 with proved terms, 4 rendered, 63 skipped
canon39_regen_store/op_units2_cpp_c0098.json: 177 with proved terms, 5 rendered, 24 skipped
