Kaccess.subscript_0_7|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00051.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_8|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00052.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_9|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00053.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_10|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00054.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_11|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00055.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_12|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00056.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_13|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00057.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_14|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00058.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_15|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00059.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_16|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00060.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_17|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00061.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_18|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00062.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_19|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00063.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_20|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00064.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_21|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00065.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_1_0|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00066.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_1|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00067.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_2|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00068.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_3|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00069.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_4|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00070.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_5|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00071.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_6|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00072.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_7|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00073.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_8|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00074.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_9|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00075.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_10|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00076.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_11|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00077.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_12|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00078.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_13|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00079.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_14|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00080.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_15|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00081.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_16|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00082.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_17|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00083.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
Kaccess.subscript_1_18|-|REFUSE:error[E0608]: cannot index into a value of type `Option<i64>`    --> /work/kx_rust/src/p00084.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^  error: aborting due to 1 previ
